age,employment,gender,race,household_income,education,state,vote_trump
49,1,0,1,"$75,000 to $79,999","Completed some graduate, but no degree",WI,1
39,1,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,0
46,1,0,1,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",VA,1
75,0,0,1,"$65,000 to $69,999",High school graduate,TX,1
52,0,0,1,"Less than $14,999",High school graduate,WA,1
44,0,0,1,"Less than $14,999",High school graduate,OH,0
21,0,0,1,"$80,000 to $84,999","Completed some college, but no degree",MA,0
38,0,0,0,"Less than $14,999","Completed some college, but no degree",TX,0
69,0,0,1,"$40,000 to $44,999","Completed some college, but no degree",CA,1
59,0,0,1,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NC,1
51,0,0,1,"$100,000 to $124,999",More than College,OH,0
74,0,0,1,"$20,000 to $24,999","Completed some graduate, but no degree",MD,1
55,0,0,1,"$60,000 to $64,999","Completed some college, but no degree",FL,0
62,0,0,1,"$15,000 to $19,999",High school graduate,WV,1
42,0,0,1,"$30,000 to $34,999",High school graduate,OH,0
81,0,0,1,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",NY,0
22,0,0,1,"$40,000 to $44,999","Completed some college, but no degree",KY,0
71,0,1,1,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",IN,1
41,0,1,1,"Less than $14,999","College Degree (such as B.A., B.S.)",WA,0
71,0,0,1,"$40,000 to $44,999","Completed some graduate, but no degree",IA,1
55,1,0,1,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",SC,1
68,0,1,1,"$85,000 to $89,999","Completed some graduate, but no degree",MN,0
69,0,0,1,"$90,000 to $94,999","Completed some college, but no degree",GA,1
33,0,0,1,"$75,000 to $79,999",More than College,PA,1
70,0,0,1,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",NJ,0
32,1,0,1,"$30,000 to $34,999","Completed some graduate, but no degree",VA,1
77,0,0,1,"$100,000 to $124,999","Completed some college, but no degree",SC,1
65,0,0,1,"$100,000 to $124,999","Completed some graduate, but no degree",TX,1
22,0,0,0,"Less than $14,999","Completed some college, but no degree",FL,0
47,0,0,1,"$15,000 to $19,999",Middle School or less,NY,0
63,0,0,1,"$65,000 to $69,999",More than College,AZ,0
79,1,1,1,"$45,000 to $49,999",More than College,IL,0
70,0,1,1,"$75,000 to $79,999","Completed some college, but no degree",OH,1
54,1,0,1,"$80,000 to $84,999",More than College,OH,0
72,0,1,1,"$40,000 to $44,999","Completed some college, but no degree",CA,0
40,0,0,1,"$20,000 to $24,999",Completed some high school,FL,1
69,0,0,0,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NC,0
37,1,1,1,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",TX,0
36,1,0,1,"$150,000 to $174,999",More than College,FL,0
54,0,0,1,"$65,000 to $69,999",High school graduate,NY,0
40,1,0,1,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",TX,0
41,0,0,1,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",NJ,0
57,0,0,1,"Less than $14,999",Completed some high school,AR,0
64,0,0,1,"Less than $14,999",Completed some high school,OK,0
39,0,0,1,"$75,000 to $79,999",Completed some high school,NV,0
50,1,0,1,"$45,000 to $49,999","Completed some college, but no degree",FL,0
26,1,0,0,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,0
30,0,0,1,"$15,000 to $19,999",Completed some high school,CA,0
51,1,0,1,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,0
72,0,0,1,"Less than $14,999","Completed some college, but no degree",OR,1
55,0,0,1,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",PA,1
80,1,0,0,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,0
66,0,0,1,"$80,000 to $84,999","Completed some college, but no degree",NC,0
40,1,0,1,"$35,000 to $39,999",High school graduate,TX,1
23,1,0,1,"$40,000 to $44,999",Completed some high school,CA,0
